Name,Price,Mileage,Transmission,Number of Owners,Seats,Standard Payload Capacity (lbs),MPGe,Original EPA Range,EPA Time to Charge,Consumer reviews
2022 Kia EV6 Wind,"$37,999","13,480",direct drive,1,5,937,117,310 miles,8.7 hrs,4.3
2021 Ford Mustang Mach-E Premium Hatchback,"$46,589","12,552",direct drive,1,5,nan,93,211 miles,8.5 hrs,4.2
2019 Volkswagen e-Golf SE Hatchback,"$18,000","31,675",direct drive,1,5,827,119,125 miles,5.3 hrs,4.1
2022 Hyundai IONIQ 5 Limited,"$46,898","13,114",direct drive,1,5,938,98,256 miles,8.5 hrs,4.5
2022 Ford Mustang Mach-E GT Hatchback,"$57,991","4,915",direct drive,1,5,nan,84,260-279 miles,10.1 hrs,4.3
2023 BMW iX xDrive50,"$71,363","10,347",direct drive,1,5,"1,067",86,324 miles,12 hrs,4.9
2017 Volkswagen e-Golf SEL Premium Hatchback,"$18,999","29,575",direct drive,1,5,919,119,125 miles,5.3 hrs,3.8
2022 Mercedes-Benz EQS EQS 450+,"$71,991","4,503",direct drive,1,5,"1,075",97,350 miles,12.5 hrs,3.8
2021 MINI Hardtop 2 Door Cooper SE Hatchback,"$25,590","19,240",direct drive,1,4,728,108,110 miles,4 hrs,4.4
2022 Chevrolet Bolt EUV Premier Hatchback,"$36,990","8,518",direct drive,1,5,nan,115,227-255 miles,7.5 hrs,4.2
2022 Tesla Model X Base,"$89,590","2,032",direct drive,1,5,nan,102,335 miles,14 hrs,3.2
2019 Tesla Model S Performance,"$57,990","19,778",direct drive,1,5,nan,104,323 miles,12 hrs,4.1
2018 Tesla Model X 100D,"$57,990","10,270",direct drive,1,5,nan,87,276 miles,12 hrs,4.1
2022 Ford Mustang Mach-E GT Hatchback,"$49,590","3,357",direct drive,1,5,nan,84,243-260 miles,10.3 hrs,4.3
2022 BMW iX xDrive50,"$81,000","2,911",direct drive,1,5,"1,054",86,324 miles,12 hrs,4.9
2022 Chevrolet Bolt EUV Premier Hatchback,"$37,999","4,224",direct drive,1,5,nan,115,230-257 miles,7.5 hrs,4.2
2016 Tesla Model X 75D,"$43,589","46,246",direct drive,2,5,nan,nan,215-216 miles,nan,3.7
2023 Audi e-tron Sportback Premium S line,"$69,985","1,723",direct drive,1,5,"1,058",78,211-220 miles,10 hrs,3.7
2021 Tesla Model 3 Performance,"$49,590","4,799",direct drive,1,5,nan,113,293-295 miles,10 hrs,4.3
2022 Polestar 2 Long Range Dual Motor Hatchback,"$42,999","3,667",direct drive,1,5,nan,89,249 miles,8 hrs,3.9
2022 Chevrolet Bolt EUV Premier Hatchback,"$35,590","14,024",direct drive,1,5,nan,115,247 miles,7.5 hrs,4.2
2021 Volkswagen ID.4 Pro S (Statement),"$35,410","13,203",direct drive,1,5,nan,97,250 miles,7.5 hrs,4.2
2022 Tesla Model 3 Performance,"$49,999","2,859",direct drive,1,5,nan,113,300-301 miles,10 hrs,4.1
2014 BMW i3 Base Hatchback,"$14,990","32,510",direct drive,5,4,937,124,67-75 miles,nan,3.6
2021 Tesla Model S Long Range,"$63,990","6,436",direct drive,1,5,nan,120,380 miles,15 hrs,3.1
2018 Tesla Model 3 Performance,"$40,990","26,431",direct drive,1,5,nan,116,310 miles,10 hrs,4.8
2021 Audi e-tron Premium,"$40,204","41,797",direct drive,1,5,nan,78,213-228 miles,10 hrs,3.2
2016 Kia Soul EV +,"$14,590","29,656",direct drive,2,5,"1,032",105,nan,10 hrs,4.3
2015 Tesla Model S P85D,"$40,879","48,391",direct drive,2,5,nan,93,237 miles,nan,4.7
2021 Tesla Model 3 Performance,"$47,999","2,734",direct drive,1,5,nan,113,296-297 miles,10 hrs,4.3
2018 Tesla Model 3 Long Range,"$38,990","4,226",direct drive,1,5,nan,116,294 miles,10 hrs,4.8
2019 Nissan LEAF SV Hatchback,"$19,988","17,905",direct drive,2,5,985,112,143-151 miles,8 hrs,4.6
2016 smart fortwo electric drive coupe Hatchback,"$12,590","22,839",direct drive,3,2,419,107,nan,8 hrs,4.1
2022 Chevrolet Bolt EUV LT Hatchback,"$28,988","13,930",direct drive,1,5,nan,115,247 miles,7.5 hrs,4.2
2022 Nissan LEAF SV Hatchback,"$22,990","11,838",direct drive,2,5,936,111,149 miles,8 hrs,4.1
2022 MINI Hardtop 2 Door Cooper SE Hatchback,"$28,990","4,692",direct drive,1,4,743,110,114 miles,4 hrs,4.4
2022 Audi e-tron Sportback Premium Plus S line,"$58,500","3,599",direct drive,1,5,"1,058",77,203-215 miles,10 hrs,3.7
2018 Tesla Model S 100D,"$46,851","20,200",direct drive,1,5,nan,102,304 miles,12 hrs,4.3
2021 Tesla Model 3 Performance,"$46,999","8,847",direct drive,1,5,nan,113,293-294 miles,10 hrs,4.3
2020 Nissan LEAF SV Hatchback,"$21,221","10,108",direct drive,1,5,"1,182",111,148-156 miles,7.5 hrs,4.3
2021 Audi e-tron Sportback Premium Plus,"$52,194","15,430",direct drive,1,5,nan,77,210-225 miles,10 hrs,5.0
2022 MINI Hardtop 2 Door Cooper SE Hatchback,"$27,990","7,871",direct drive,1,4,743,110,114 miles,4 hrs,4.4
2015 smart fortwo electric drive coupe Hatchback,"$11,590","19,637",direct drive,2,2,419,107,nan,4 hrs,4.0
2019 Audi e-tron Premium Plus quattro,"$40,456","13,733",direct drive,1,5,nan,nan,201-212 miles,nan,4.0
2022 MINI Hardtop 2 Door Cooper SE Hatchback,"$26,990","9,712",direct drive,1,4,743,110,114 miles,4 hrs,4.4
2021 Volkswagen ID.4 1st Edition,"$34,999","3,405",direct drive,1,5,nan,97,250 miles,7.5 hrs,4.2
2023 Tesla Model 3 Base,"$42,990","4,332",direct drive,2,5,nan,nan,268 miles,10.4 hrs,3.9
2022 Ford E-Transit Cargo Van 350 Medium Roof,"$50,990","5,796",direct drive,1,2,"3,750",nan,nan,10.4 hrs,4.0
2017 Tesla Model S 75D,"$41,999","27,320",direct drive,1,5,nan,103,240 miles,nan,4.5
2022 Ford F-150 Lightning Lariat SuperCrew,"$78,995","4,583",direct drive,1,5,"2,000",68,230 miles,11.9 hrs,4.9
2021 Volvo XC40 Recharge Pure Electric P8,"$40,527","26,297",direct drive,1,5,nan,79,208 miles,8 hrs,3.0
2018 Tesla Model 3 Long Range,"$33,990","34,328",direct drive,1,5,nan,nan,310 miles,10 hrs,4.8
2018 Tesla Model 3 Mid Range,"$32,990","43,994",direct drive,2,5,nan,123,260 miles,10 hrs,4.8
2022 MINI Hardtop 2 Door Cooper SE Hatchback,"$29,590","3,970",direct drive,1,4,743,110,114 miles,4 hrs,4.4
2020 Chevrolet Bolt EV LT Hatchback,"$22,665","26,318",direct drive,2,5,nan,118,231-257 miles,10 hrs,4.1
2022 Kia EV6 Wind,"$41,243","6,687",direct drive,1,5,895,105,274 miles,8.4 hrs,4.3
2020 Kia Niro EV EX Premium,"$26,994","14,874",direct drive,1,5,"1,062",112,239 miles,9.5 hrs,4.7
2022 Ford E-Transit Cargo Van 350 Medium Roof,"$47,999","2,797",direct drive,0,2,"3,628",nan,nan,9.5 hrs,4.0
2020 MINI Hardtop 2 Door Cooper SE Hatchback,"$27,990","6,542",direct drive,1,4,728,108,110 miles,4 hrs,4.5
2022 Polestar 2 Long Range Dual Motor Hatchback,"$38,589","1,484",direct drive,1,5,nan,89,249 miles,8 hrs,3.9
2022 Polestar 2 Long Range Dual Motor Hatchback,"$38,589","1,605",direct drive,1,5,nan,89,249 miles,8 hrs,3.9
2022 Polestar 2 Long Range Dual Motor Hatchback,"$38,589","1,169",direct drive,1,5,nan,89,249 miles,8 hrs,3.9
2019 Hyundai Ioniq Electric Base Hatchback,"$18,596","13,035",direct drive,1,5,"1,025",nan,124 miles,4 hrs,5.0
2023 Ford Mustang Mach-E Premium Hatchback,"$49,499","1,955",direct drive,0,5,nan,103,229-252 miles,8.1 hrs,4.3
2023 Hyundai Kona Electric Limited,"$33,500","1,564",direct drive,1,5,926,120,258 miles,9.5 hrs,3.6
2023 Mercedes-Benz EQS SUV EQS 450+,"$85,063","6,733",direct drive,1,5,nan,85,305 miles,12.8 hrs,5.0
2015 BMW i3 Base Hatchback,"$12,990","53,651",direct drive,2,4,715,124,69-75 miles,nan,4.1
2021 Tesla Model S Long Range,"$61,990","12,331",direct drive,1,5,nan,120,384-385 miles,15 hrs,3.1
2019 Audi e-tron Prestige quattro,"$40,590","18,488",direct drive,1,5,nan,nan,202-213 miles,nan,4.0
2023 Mercedes-Benz EQS EQS 450+,"$88,448","1,796",direct drive,1,5,"1,075",97,350 miles,12.5 hrs,3.8
2020 Nissan LEAF SV Hatchback,"$20,085","9,740",direct drive,1,5,"1,182",111,145-155 miles,7.5 hrs,4.3
2019 Audi e-tron Premium Plus quattro,"$41,953","16,331",direct drive,1,5,nan,nan,212-223 miles,nan,4.0
2019 Tesla Model X Standard Range,"$54,999","29,981",direct drive,1,5,nan,nan,247 miles,nan,4.0
2023 Audi e-tron Premium,"$61,888","6,744",direct drive,1,5,nan,78,212-222 miles,10 hrs,3.3
2022 Kia EV6 Wind,"$40,000","7,351",direct drive,1,5,895,105,274 miles,8.4 hrs,4.3
2021 Tesla Model 3 Performance,"$41,778","30,355",direct drive,1,5,nan,113,287-288 miles,10 hrs,4.3
2021 Volkswagen ID.4 AWD Pro S (Statement),"$37,999","7,307",direct drive,1,5,nan,93,240 miles,7.5 hrs,4.2
2018 Tesla Model X 100D,"$50,990","59,091",direct drive,2,5,nan,87,263 miles,12 hrs,4.1
2023 Volvo XC40 Recharge Ultimate,"$49,990","6,182",direct drive,1,5,nan,85,223 miles,8 hrs,3.0
2022 Polestar 2 Long Range Dual Motor Hatchback,"$42,995","4,756",direct drive,1,5,nan,89,249 miles,8 hrs,3.9
2021 Tesla Model 3 Standard Range Plus,"$35,688","15,676",direct drive,1,5,nan,nan,242-243 miles,7.8 hrs,4.3
2019 Volkswagen e-Golf SEL Premium Hatchback,"$23,650","16,142",direct drive,1,5,827,119,125 miles,5.3 hrs,4.1
2018 Nissan LEAF SV Hatchback,"$16,497","41,196",direct drive,2,5,985,112,136-146 miles,nan,4.4
2022 Tesla Model 3 Performance,"$45,401","19,461",direct drive,1,5,nan,113,296-297 miles,10 hrs,4.1
2022 Kia EV6 Wind,"$37,999","13,480",direct drive,1,5,937,117,310 miles,8.7 hrs,4.3
2021 Ford Mustang Mach-E Premium Hatchback,"$46,589","12,552",direct drive,1,5,nan,93,211 miles,8.5 hrs,4.2
2019 Volkswagen e-Golf SE Hatchback,"$18,000","31,675",direct drive,1,5,827,119,125 miles,5.3 hrs,4.1
2022 Hyundai IONIQ 5 Limited,"$46,898","13,114",direct drive,1,5,938,98,256 miles,8.5 hrs,4.5
2022 Ford Mustang Mach-E GT Hatchback,"$57,991","4,915",direct drive,1,5,nan,84,260-279 miles,10.1 hrs,4.3
2023 BMW iX xDrive50,"$71,363","10,347",direct drive,1,5,"1,067",86,324 miles,12 hrs,4.9
2017 Volkswagen e-Golf SEL Premium Hatchback,"$18,999","29,575",direct drive,1,5,919,119,125 miles,5.3 hrs,3.8
2022 Mercedes-Benz EQS EQS 450+,"$71,991","4,503",direct drive,1,5,"1,075",97,350 miles,12.5 hrs,3.8
2021 MINI Hardtop 2 Door Cooper SE Hatchback,"$25,590","19,240",direct drive,1,4,728,108,110 miles,4 hrs,4.4
2022 Chevrolet Bolt EUV Premier Hatchback,"$36,990","8,518",direct drive,1,5,nan,115,227-255 miles,7.5 hrs,4.2
2022 Tesla Model X Base,"$89,590","2,032",direct drive,1,5,nan,102,335 miles,14 hrs,3.2
2019 Tesla Model S Performance,"$57,990","19,778",direct drive,1,5,nan,104,323 miles,12 hrs,4.1
2018 Tesla Model X 100D,"$57,990","10,270",direct drive,1,5,nan,87,276 miles,12 hrs,4.1
2022 Ford Mustang Mach-E GT Hatchback,"$49,590","3,357",direct drive,1,5,nan,84,243-260 miles,10.3 hrs,4.3
2022 BMW iX xDrive50,"$81,000","2,911",direct drive,1,5,"1,054",86,324 miles,12 hrs,4.9
2022 Chevrolet Bolt EUV Premier Hatchback,"$37,999","4,224",direct drive,1,5,nan,115,230-257 miles,7.5 hrs,4.2
2016 Tesla Model X 75D,"$43,589","46,246",direct drive,2,5,nan,nan,215-216 miles,nan,3.7
2023 Audi e-tron Sportback Premium S line,"$69,985","1,723",direct drive,1,5,"1,058",78,211-220 miles,10 hrs,3.7
2021 Tesla Model 3 Performance,"$49,590","4,799",direct drive,1,5,nan,113,293-295 miles,10 hrs,4.3
2022 Polestar 2 Long Range Dual Motor Hatchback,"$42,999","3,667",direct drive,1,5,nan,89,249 miles,8 hrs,3.9
2022 Chevrolet Bolt EUV Premier Hatchback,"$35,590","14,024",direct drive,1,5,nan,115,247 miles,7.5 hrs,4.2
2021 Volkswagen ID.4 Pro S (Statement),"$35,410","13,203",direct drive,1,5,nan,97,250 miles,7.5 hrs,4.2
2022 Tesla Model 3 Performance,"$49,999","2,859",direct drive,1,5,nan,113,300-301 miles,10 hrs,4.1
2014 BMW i3 Base Hatchback,"$14,990","32,510",direct drive,5,4,937,124,67-75 miles,nan,3.6
2021 Tesla Model S Long Range,"$63,990","6,436",direct drive,1,5,nan,120,380 miles,15 hrs,3.1
2018 Tesla Model 3 Performance,"$40,990","26,431",direct drive,1,5,nan,116,310 miles,10 hrs,4.8
2021 Audi e-tron Premium,"$40,204","41,797",direct drive,1,5,nan,78,213-228 miles,10 hrs,3.2
2016 Kia Soul EV +,"$14,590","29,656",direct drive,2,5,"1,032",105,nan,10 hrs,4.3
2015 Tesla Model S P85D,"$40,879","48,391",direct drive,2,5,nan,93,237 miles,nan,4.7
2021 Tesla Model 3 Performance,"$47,999","2,734",direct drive,1,5,nan,113,296-297 miles,10 hrs,4.3
2018 Tesla Model 3 Long Range,"$38,990","4,226",direct drive,1,5,nan,116,294 miles,10 hrs,4.8
2019 Nissan LEAF SV Hatchback,"$19,988","17,905",direct drive,2,5,985,112,143-151 miles,8 hrs,4.6
2016 smart fortwo electric drive coupe Hatchback,"$12,590","22,839",direct drive,3,2,419,107,nan,8 hrs,4.1
2022 Chevrolet Bolt EUV LT Hatchback,"$28,988","13,930",direct drive,1,5,nan,115,247 miles,7.5 hrs,4.2
2022 Nissan LEAF SV Hatchback,"$22,990","11,838",direct drive,2,5,936,111,149 miles,8 hrs,4.1
2022 MINI Hardtop 2 Door Cooper SE Hatchback,"$28,990","4,692",direct drive,1,4,743,110,114 miles,4 hrs,4.4
2022 Audi e-tron Sportback Premium Plus S line,"$58,500","3,599",direct drive,1,5,"1,058",77,203-215 miles,10 hrs,3.7
2018 Tesla Model S 100D,"$46,851","20,200",direct drive,1,5,nan,102,304 miles,12 hrs,4.3
2021 Tesla Model 3 Performance,"$46,999","8,847",direct drive,1,5,nan,113,293-294 miles,10 hrs,4.3
2020 Nissan LEAF SV Hatchback,"$21,221","10,108",direct drive,1,5,"1,182",111,148-156 miles,7.5 hrs,4.3
2021 Audi e-tron Sportback Premium Plus,"$52,194","15,430",direct drive,1,5,nan,77,210-225 miles,10 hrs,5.0
2022 MINI Hardtop 2 Door Cooper SE Hatchback,"$27,990","7,871",direct drive,1,4,743,110,114 miles,4 hrs,4.4
2015 smart fortwo electric drive coupe Hatchback,"$11,590","19,637",direct drive,2,2,419,107,nan,4 hrs,4.0
2019 Audi e-tron Premium Plus quattro,"$40,456","13,733",direct drive,1,5,nan,nan,201-212 miles,nan,4.0
2022 MINI Hardtop 2 Door Cooper SE Hatchback,"$26,990","9,712",direct drive,1,4,743,110,114 miles,4 hrs,4.4
2021 Volkswagen ID.4 1st Edition,"$34,999","3,405",direct drive,1,5,nan,97,250 miles,7.5 hrs,4.2
2023 Tesla Model 3 Base,"$42,990","4,332",direct drive,2,5,nan,nan,268 miles,10.4 hrs,3.9
2022 Ford E-Transit Cargo Van 350 Medium Roof,"$50,990","5,796",direct drive,1,2,"3,750",nan,nan,10.4 hrs,4.0
2017 Tesla Model S 75D,"$41,999","27,320",direct drive,1,5,nan,103,240 miles,nan,4.5
2022 Ford F-150 Lightning Lariat SuperCrew,"$78,995","4,583",direct drive,1,5,"2,000",68,230 miles,11.9 hrs,4.9
2021 Volvo XC40 Recharge Pure Electric P8,"$40,527","26,297",direct drive,1,5,nan,79,208 miles,8 hrs,3.0
2018 Tesla Model 3 Long Range,"$33,990","34,328",direct drive,1,5,nan,nan,310 miles,10 hrs,4.8
2018 Tesla Model 3 Mid Range,"$32,990","43,994",direct drive,2,5,nan,123,260 miles,10 hrs,4.8
2022 MINI Hardtop 2 Door Cooper SE Hatchback,"$29,590","3,970",direct drive,1,4,743,110,114 miles,4 hrs,4.4
2020 Chevrolet Bolt EV LT Hatchback,"$22,665","26,318",direct drive,2,5,nan,118,231-257 miles,10 hrs,4.1
2022 Kia EV6 Wind,"$41,243","6,687",direct drive,1,5,895,105,274 miles,8.4 hrs,4.3
2017 Chevrolet Bolt EV Premier Hatchback,"$21,990","15,971",direct drive,1,5,nan,119,Edmunds considers this used vehicle a Fair Price because the price is within the market average for similar vehicles in your region.,9.3 hrs,4.4
2022 Hyundai IONIQ 5 SE,"$36,999","8,247",direct drive,1,5,943,114,303 miles,8.5 hrs,4.5
2020 Nissan LEAF SV Hatchback,"$22,890","18,955",direct drive,1,5,"1,182",111,144-154 miles,7.5 hrs,4.3
2020 Nissan LEAF S Hatchback,"$19,990","18,491",direct drive,1,5,"1,213",111,144-154 miles,7.5 hrs,4.3
2023 MINI Hardtop 2 Door Cooper SE Hatchback,"$30,590","11,098",direct drive,1,4,nan,nan,nan,7.5 hrs,4.4
2018 smart fortwo electric drive prime Hatchback,"$14,990","29,041",direct drive,1,2,nan,108,58 miles,3 hrs,4.1
2015 BMW i3 Base Hatchback,"$14,490","46,935",direct drive,4,4,715,124,68-75 miles,nan,4.1
2016 Volkswagen e-Golf SE Hatchback,"$13,990","55,318",direct drive,4,5,939,116,nan,nan,3.8
2020 Tesla Model 3 Long Range,"$36,599","43,726",direct drive,1,5,nan,121,284-285 miles,10 hrs,4.1
2020 Tesla Model Y Performance,"$47,995","17,416",direct drive,1,5,nan,121,275 miles,10 hrs,3.5
2015 Tesla Model S P85D,"$35,590","62,000",direct drive,2,5,nan,93,234 miles,nan,4.7
2022 MINI Hardtop 2 Door Cooper SE Hatchback,"$26,990","2,592",direct drive,1,4,743,110,114 miles,4 hrs,4.4
2022 Polestar 2 Long Range Dual Motor Hatchback,"$41,990","9,230",direct drive,1,5,nan,89,249 miles,8 hrs,3.9
2019 Chevrolet Bolt EV LT Hatchback,"$20,928","35,949",direct drive,1,5,nan,119,246-273 miles,9.3 hrs,4.2
2023 Audi e-tron Sportback Premium S line,"$67,993","4,076",direct drive,1,5,"1,058",78,218 miles,10 hrs,3.7
2019 Tesla Model S Performance,"$58,590","26,337",direct drive,1,5,nan,104,325 miles,12 hrs,4.1
2020 Chevrolet Bolt EV Premier Hatchback,"$25,300","21,908",direct drive,1,5,nan,118,228-253 miles,10 hrs,4.1
2022 Mercedes-Benz EQS EQS 450+,"$72,888","7,701",direct drive,2,5,"1,075",97,350 miles,12.5 hrs,3.8
2022 MINI Hardtop 2 Door Cooper SE Hatchback,"$26,990","9,662",direct drive,1,4,743,110,114 miles,4 hrs,4.4
2013 Nissan LEAF SL Hatchback,"$7,999","55,264",direct drive,4,5,853,115,67-69 miles,nan,4.1
2022 Mercedes-Benz EQB EQB 350,"$47,488","3,252",direct drive,1,5,nan,96,227 miles,8.25 hrs,nan
2016 FIAT 500e Battery Electric Hatchback,"$9,995","36,852",direct drive,3,4,nan,112,nan,8.25 hrs,4.2
2022 Hyundai IONIQ 5 SE,"$38,999","3,572",direct drive,1,5,938,98,256 miles,8.5 hrs,4.5
2022 Kia EV6 Wind,"$42,990","4,724",direct drive,1,5,895,105,274 miles,8.4 hrs,4.3
2021 Tesla Model Y Long Range,"$46,496","18,847",direct drive,1,5,nan,125,305-306 miles,10 hrs,3.8
2023 Tesla Model 3 Base,"$42,590","1,412",direct drive,1,5,nan,nan,270 miles,10.4 hrs,3.9
2019 Volkswagen e-Golf SE Hatchback,"$21,589","20,691",direct drive,1,5,827,119,125 miles,5.3 hrs,4.1
2018 Tesla Model 3 Performance,"$38,990","32,611",direct drive,1,5,nan,116,287-288 miles,10 hrs,4.8
2020 Tesla Model 3 Standard Range Plus,"$35,990","9,601",direct drive,1,5,nan,nan,227-228 miles,8.5 hrs,4.1
2021 Nissan LEAF SV Hatchback,"$20,900","20,032",direct drive,1,5,940,111,144-155 miles,8 hrs,4.3
2022 MINI Hardtop 2 Door Cooper SE Hatchback,"$27,990","7,109",direct drive,1,4,743,110,114 miles,4 hrs,4.4
2019 Audi e-tron Premium Plus quattro,"$42,590","16,769",direct drive,1,5,nan,nan,202-213 miles,nan,4.0
2019 Hyundai Kona Electric Ultimate,"$29,590","9,928",direct drive,1,5,nan,120,258 miles,9 hrs,4.7
2022 Tesla Model 3 Long Range,"$42,999","2,961",direct drive,1,5,nan,nan,346 miles,11.5 hrs,4.1
2019 Audi e-tron Premium Plus quattro,"$39,995","17,001",direct drive,1,5,nan,nan,202-213 miles,nan,4.0
2021 Nissan LEAF SL PLUS Hatchback,"$27,990","15,427",direct drive,1,5,942,104,217-227 miles,11 hrs,4.3
2021 MINI Hardtop 2 Door Cooper SE Hatchback,"$25,990","11,992",direct drive,1,4,728,108,110 miles,4 hrs,4.4
2023 Volkswagen ID.4 AWD Pro S,"$45,339","3,834",direct drive,1,5,959,99,255 miles,7.5 hrs,4.1
2022 Tesla Model 3 Performance,"$49,999","5,479",direct drive,1,5,nan,113,298-299 miles,10 hrs,4.1
2021 Ford Mustang Mach-E California Route 1 Hatchback,"$44,589","9,915",direct drive,1,5,nan,101,286-304 miles,11.4 hrs,4.2
2022 MINI Hardtop 2 Door Cooper SE Hatchback,"$27,590","9,707",direct drive,1,4,743,110,114 miles,4 hrs,4.4
2022 Hyundai IONIQ 5 SEL,"$40,488","22,966",direct drive,1,5,943,114,303 miles,8.5 hrs,4.5
2022 Tesla Model 3 Performance,"$48,999","9,556",direct drive,1,5,nan,113,297-298 miles,10 hrs,4.1
2022 Tesla Model Y Long Range,"$49,895","11,079",direct drive,1,5,nan,122,330 miles,11.5 hrs,3.7
2022 Tesla Model Y Long Range,"$48,800","18,549",direct drive,1,5,nan,122,308-309 miles,11.5 hrs,3.7
2021 Chevrolet Bolt EV LT Hatchback,"$26,589","13,685",direct drive,1,5,nan,118,230-256 miles,10 hrs,4.2
2022 Nissan LEAF SL PLUS Hatchback,"$25,525","27,039",direct drive,1,5,938,104,221-231 miles,11 hrs,4.1
2021 Ford Mustang Mach-E GT Hatchback,"$53,999","7,383",direct drive,1,5,nan,84,269-286 miles,10.3 hrs,4.2
2022 Kia Niro EV EX,"$25,969","31,897",direct drive,1,5,"1,062",112,239 miles,9.5 hrs,4.2
2022 Hyundai Kona Electric SEL,"$27,399","18,075",direct drive,1,5,"1,047",120,258 miles,9.5 hrs,3.5
2022 MINI Hardtop 2 Door Cooper SE Hatchback,"$30,990","5,282",direct drive,1,4,743,110,114 miles,4 hrs,4.4
2023 Ford Mustang Mach-E GT Hatchback,"$64,700","3,756",direct drive,1,5,nan,84,252-275 miles,10.3 hrs,4.3
2022 Ford E-Transit Cargo Van 350 Medium Roof,"$50,990","6,715",direct drive,1,2,"3,628",nan,nan,10.3 hrs,4.0
2020 Kia Niro EV EX Premium,"$26,994","14,874",direct drive,1,5,"1,062",112,239 miles,9.5 hrs,4.7
2022 Ford E-Transit Cargo Van 350 Medium Roof,"$47,999","2,797",direct drive,0,2,"3,628",nan,nan,9.5 hrs,4.0
2020 MINI Hardtop 2 Door Cooper SE Hatchback,"$27,990","6,542",direct drive,1,4,728,108,110 miles,4 hrs,4.5
2022 Polestar 2 Long Range Dual Motor Hatchback,"$38,589","1,484",direct drive,1,5,nan,89,249 miles,8 hrs,3.9
2022 Polestar 2 Long Range Dual Motor Hatchback,"$38,589","1,605",direct drive,1,5,nan,89,249 miles,8 hrs,3.9
2022 Polestar 2 Long Range Dual Motor Hatchback,"$38,589","1,169",direct drive,1,5,nan,89,249 miles,8 hrs,3.9
2019 Hyundai Ioniq Electric Base Hatchback,"$18,596","13,035",direct drive,1,5,"1,025",nan,124 miles,4 hrs,5.0
